,name_product,color,desc,cloth_path
0,Adicolor Re-Pro SST Material Mix Track Jacket,Black,"Give your wardrobe the refresh it deserves. This adidas Adicolor track jacket is the versatile staple you won't remember how you once lived without. Crafted in comfortable doubleknit fabric, this fresh spin on an iconic design gives a second life to dead-stock materials from our archives. Classic 3-Stripes and Trefoil branding finish things off with a signature sporty twist.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000001_1.jpg
1,Tiro 23 League Training Jacket,Black,"Born for the beautiful game. Its soft fabric and stand-up collar make this adidas soccer jacket the perfect extra layer on the training pitch. Part of the Tiro 23 League range, it'll keep you dry and comfortable even when it's zipped all the way up, thanks to moisture-absorbing AEROREADY. Its slim, streamlined fit means you can keep it on when you're in the thick of the action.",Cloth/000002_1.jpg
2,Adicolor Classics 3-Stripes Tee,Green,Meet your new favorite tee. This classic adidas t-shirt boasts a slim fit and a contrast hem for some refined vintage vibes. Pair it with your favorite dark denim for an effortlessly classic look. It's made of super-soft cotton to keep you comfortable.  Our cotton products support more sustainable cotton farming.,Cloth/000003_1.jpg
3,Adicolor Contempo Tee,Collegiate Green,"Get yourself a t-shirt with all of the good stuff. We're talking premium organic cotton, casual good looks and iconic adidas style. This tee is so simple you can wear it with anything, and so comfortable that you'll want to wear it with, well, everything.  This tee is made with natural and renewable materials as part of our journey to design out finite resources and help end plastic waste.",Cloth/000004_1.jpg
4,Tiro 23 League Training Jacket,Team Onix,"Born for the beautiful game. Its soft fabric and stand-up collar make this adidas soccer jacket the perfect extra layer on the training pitch. Part of the Tiro 23 League range, it'll keep you dry and comfortable even when it's zipped all the way up, thanks to moisture-absorbing AEROREADY. Its slim, streamlined fit means you can keep it on when you're in the thick of the action.",Cloth/000006_1.jpg
5,Austin FC MLS Hispanic Heritage Month Pre-Match Jersey,Black / Mls-Asf-6ab,"Show your soccer colors in Hispanic Heritage Month. Designed to stand out during the MLS celebrations, this adidas jersey is designed to keep Austin FC players comfortable while they warm up before kickoff. Behind that eye-popping allover graphic, moisture-wicking AEROREADY and soft interlock fabric combine to keep your soccer stylish.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000008_1.jpg
6,Flag Jersey,White / Black,"Fight for every yard in this adidas flag football jersey. It's made of soft and breathable mesh fabric to keep you comfortable while you drop back, find the gap or stretch for that game-winning catch. The Badge of Sport on the shoulder adds a touch of style while keeping the look minimal.",Cloth/000009_1.jpg
7,Workout Stringer Tank Top,Black / Black,"Put in the time, see the results. The Workout Stringer Tank Top supports your hard work at the gym. Crafted from lightweight fabric, it features sweat-wicking AEROREADY that keeps you feeling dry. The deep armholes and slim fit give you freedom of movement through every rep, from lat pull-downs and tricep dips.   This tank top is made with natural and renewable materials as part of our journey to design out finite resources and help end plastic waste.",Cloth/000012_1.jpg
8,Tiro 23 Competition Anthem Jacket,Black / White,"Made for the limelight. This adidas Tiro 23 Competition soccer jacket is based on the ones pro teams wear in the pre-match lineups. Its slim, streamlined fit and moisture-absorbing AEROREADY make it perfect for taking onto the pitch. The zip closure is designed to unfasten at speed so you can rip it off quickly when the action heats up.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000013_1.jpg
9,Essentials Big Logo Tee,White / Black,"Freshen up your basics with this t-shirt. Show your love for all things sport with a big adidas Badge of Sport that's front and center. Good thing it's designed for everyday wear, because if you're anything like us, you're going to want to reach for it all the time.",Cloth/000014_1.jpg
10,Pride Pre-Match Jersey (Plus Size),Black,"Let love be your legacy. South African designer Rich Mnisi once wrote that reminder in a handwritten letter to his younger queer self, and today it thrives at the core of the adidas x Rich Mnisi Pride Collection. A celebration of self-expression, imagination and the unwavering belief that love unites, the collaboration explores fluidity, color and patterns. This partnership is one part of our effort to honor the LGBTQIA+ community alongside our Global Purpose partner Athlete Ally.  Stand out exactly how you are in this soccer jersey. It comes complete with a streamlined, slim fit and moisture-wicking AEROREADY.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000015_1.jpg
