,name_product,color,description,cloth_path,material,price,rates,url
0,Adicolor Re-Pro SST Material Mix Track Jacket,Black,"Give your wardrobe the refresh it deserves. This adidas Adicolor track jacket is the versatile staple you won't remember how you once lived without. Crafted in comfortable doubleknit fabric, this fresh spin on an iconic design gives a second life to dead-stock materials from our archives. Classic 3-Stripes and Trefoil branding finish things off with a signature sporty twist.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000001_1.jpg,100% recycled polyester doubleknit,$100,5.0,https://www.adidas.com/us/adicolor-re-pro-sst-material-mix-track-jacket/II5777.html
1,Tiro 23 League Training Jacket,Black,"Born for the beautiful game. Its soft fabric and stand-up collar make this adidas soccer jacket the perfect extra layer on the training pitch. Part of the Tiro 23 League range, it'll keep you dry and comfortable even when it's zipped all the way up, thanks to moisture-absorbing AEROREADY. Its slim, streamlined fit means you can keep it on when you're in the thick of the action.",Cloth/000002_1.jpg,100% recycled polyester doubleknit,$120,4.7,https://www.adidas.com/us/tiro-23-league-training-jacket/HS7231.html
2,Adicolor Classics 3-Stripes Tee,Green,Meet your new favorite tee. This classic adidas t-shirt boasts a slim fit and a contrast hem for some refined vintage vibes. Pair it with your favorite dark denim for an effortlessly classic look. It's made of super-soft cotton to keep you comfortable.  Our cotton products support more sustainable cotton farming.,Cloth/000003_1.jpg,100% cotton single jersey,$35,4.8,https://www.adidas.com/us/adicolor-classics-3-stripes-tee/IM0410.html
3,Adicolor Contempo Tee,Collegiate Green,"Get yourself a t-shirt with all of the good stuff. We're talking premium organic cotton, casual good looks and iconic adidas style. This tee is so simple you can wear it with anything, and so comfortable that you'll want to wear it with, well, everything.  This tee is made with natural and renewable materials as part of our journey to design out finite resources and help end plastic waste.",Cloth/000004_1.jpg,100% organic cotton single jersey,$100,4.8,https://www.adidas.com/us/adicolor-contempo-tee/IM4392.html
4,Essentials Single Jersey Big Logo Tee,Black / White,"Whether you're throwing it on after the gym or getting ready to start the day, this adidas staple tee is calling your name. Made for comfort and easy style, the adidas Badge of Sport shines from the front putting your adidas pride on full display. Mix and match with every item in your closet — the classic sports vibe goes with any look.",Cloth/000016_1.jpg,100% cotton single jersey,$30,4.7,https://www.adidas.com/us/essentials-single-jersey-big-logo-tee/IC9347.html
5,Adicolor Classics Beckenbauer Track Jacket,Better Scarlet S23 / White,"Sometimes history just gets it right. Taken straight from the adidas archives, this signature track jacket nails a timeless look. An embroidered Trefoil logo adds a touch of pizzazz, and the supremely soft cotton blend makes it perfect for everyday wear. With a slim fit and full zip, it gives any outfit a dash of attitude. Our favorite part: the stand-up collar for that tailored vibe.   A minimum of 70% of this product is a blend of recycled and renewable materials.",Cloth/000018_1.jpg,"52% cotton, 48% recycled polyester pique",$80,4.8,https://www.adidas.com/us/adicolor-classics-beckenbauer-track-jacket/IM4511.html
6,Real Madrid Anthem Jacket,Black / Preloved Yellow F23,"Their European pedigree needs no introduction, but those glory nights don't happen by chance. This adidas soccer jacket gives Real Madrid players a sense of unity before they play their biggest games. Cut for a slim fit and lined with soft mesh, its smooth plain weave fabric borrows the black-and-gold colors of the club's classy third kit. Moisture-wicking AEROREADY means this top is also pitch-ready.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000021_1.jpg,100% recycled polyester plain weave,$110,4.9,https://www.adidas.com/us/real-madrid-anthem-jacket/HY0641.html
7,Argentina 22 Winners Home Jersey,White / Light Blue,"Dress like a champion! Throughout football history, those three blue stripes have stood for mesmerizing footwork and unrivalled commitment. For Argentina's latest home jersey, adidas returned to that winning look. Made for fans, it keeps things comfortable with smooth fabric and moisture-wicking AEROREADY. That champions badge and extra star over the crest confirm a memorable victory. A minimum of 70% of this product is a blend of recycled and renewable materials.",Cloth/000022_1.jpg,,$90,4.7,https://www.adidas.com/us/argentina-22-winners-home-jersey/IB3597.html
8,Argentina 22 Winners Home Jersey,White / Light Blue,"Dress like a champion! Throughout football history, those three blue stripes have stood for mesmerizing footwork and unrivalled commitment. For Argentina's latest home jersey, adidas returned to that winning look. Made for fans, it keeps things comfortable with smooth fabric and moisture-wicking AEROREADY. That champions badge and extra star over the crest confirm a memorable victory. A minimum of 70% of this product is a blend of recycled and renewable materials.",Cloth/000856_1.jpg,,$90,4.7,https://www.adidas.com/us/argentina-22-winners-home-jersey/IB3597.html
9,Adicolor Classics 3-Stripes Long Sleeve Tee,White,"When a classic gets reinvented, you know it's got staying power and signature style. Slip on this adidas long sleeve t-shirt and head out with high-contrast attitude. The iconic 3-Stripes and an embroidered Trefoil hint at retro vibes with a modern twist. The ribbed crewneck and cuffs keep things classic, through and through.",Cloth/000023_1.jpg,100% cotton single jersey,$45,4.8,https://www.adidas.com/us/adicolor-classics-3-stripes-long-sleeve-tee/IA4879.html
